fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	is_unbalance	scale_pos_weight	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	estimulos	ganancia	iteracion_bayesiana
20240513 033101	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	3013	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200495304080143	0.7537328664478	208	1987	13981	63501257.8710645	70
20240513 034411	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	973	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200180981305039	0.856925112568451	1443	885	13629	63243854.5727136	71
20240513 034537	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	167	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200748418277876	0.881853979291896	8	1370	11850	57959685.1574213	72
20240513 035108	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	574	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0890344478579176	0.680200529034994	560	2000	14793	61579020.9895052	73
20240513 035414	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	252	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0608663583648168	0.632829572025992	243	1403	11906	63803079.4602699	74
20240513 035819	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	356	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0890335879005719	0.538529167189062	254	100	10203	60913038.9805097	75
20240513 040503	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	755	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.020186904584973	0.713689813819552	311	1543	11093	64215572.7136432	76
20240513 041453	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1000	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200247415437062	0.688105646982975	322	1437	11141	62632052.4737631	77
20240513 042908	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	874	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200521253247746	0.744839948726338	1339	100	12184	64754986.5067466	78
20240513 044819	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	276	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200115385313913	0.695345406490319	1308	112	11302	63365724.137931	79
20240513 045127	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	134	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.205753964196459	0.859590024257763	1204	1981	12022	59024974.5127436	80
20240513 050309	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	540	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.0200523459150773	0.745685956294699	1381	140	13534	63414851.5742129	81
20240513 050811	533	888714	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	153	1	1	1	FALSE	1	0.1	50	0.5	FALSE	200003	0.172210114654411	0.880017574201085	2048	129	10315	62199887.5562219	82
